athlete_display_name,team_short_display_name,min,fg,fg3,ft,oreb,dreb,reb,ast,stl,blk,to,pf,plus_minus,pts,starter,ejected,did_not_play,active,athlete_jersey,athlete_id,athlete_short_name,athlete_position_name,athlete_position_abbreviation,team_name,team_logo,team_id,team_abbreviation,team_color,game_id,season,season_type,game_date,athlete_headshot_href
Chasity Melvin,Rockers,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,FALSE,,289,C. Melvin,Not Available,NA,Rockers,,2,CLE,,220722009,2002,2,2002-07-22,
Jennifer Rizzotti,Rockers,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,FALSE,,342,J. Rizzotti,Not Available,NA,Rockers,,2,CLE,,220722009,2002,2,2002-07-22,
Mery Andrade,Rockers,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,TRUE,,59,M. Andrade,Not Available,NA,Rockers,,2,CLE,,220722009,2002,2,2002-07-22,
Tricia Bader Binford,Rockers,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,TRUE,,65,T. Bader Binford,Not Available,NA,Rockers,,2,CLE,,220722009,2002,2,2002-07-22,
Rushia Brown,Rockers,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,TRUE,,110,R. Brown,Not Available,NA,Rockers,,2,CLE,,220722009,2002,2,2002-07-22,
Tracy Henderson,Rockers,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,TRUE,,206,T. Henderson,Not Available,NA,Rockers,,2,CLE,,220722009,2002,2,2002-07-22,
Deanna Jackson,Rockers,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,TRUE,,221,D. Jackson,Not Available,NA,Rockers,,2,CLE,,220722009,2002,2,2002-07-22,
Brandi McCain,Rockers,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,278,B. McCain,Not Available,NA,Rockers,,2,CLE,,220722009,2002,2,2002-07-22,
Tari Phillips,Liberty,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,FALSE,,18,T. Phillips,Forward,F,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,9,NYL,0d79b9,220722009,2002,2,2002-07-22,
Vickie Johnson,Liberty,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,TRUE,FALSE,FALSE,FALSE,,16,V. Johnson,Guard,G,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/nyl.png,9,NYL,0d79b9,220722009,2002,2,2002-07-22,
