athlete_display_name,team_short_display_name,min,fg,fg3,ft,oreb,dreb,reb,ast,stl,blk,to,pf,plus_minus,pts,starter,ejected,did_not_play,active,athlete_jersey,athlete_id,athlete_short_name,athlete_headshot_href,athlete_position_name,athlete_position_abbreviation,team_name,team_logo,team_id,team_abbreviation,team_color,game_id,season,season_type,game_date
Devereaux Peters,Fever,10,0-2,0-0,0-0,1,3,4,1,0,1,0,2,-14,0,FALSE,FALSE,FALSE,FALSE,14,1101,D. Peters,,Forward,F,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864446,2016,2,2016-07-13
Natalie Achonwa,Fever,4,1-1,0-0,0-0,0,0,0,0,1,0,0,0,-4,2,FALSE,FALSE,FALSE,TRUE,11,2529203,N. Achonwa,https://a.espncdn.com/i/headshots/wnba/players/full/2529203.png,Forward,F,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864446,2016,2,2016-07-13
Marissa Coleman,Fever,17,2-7,2-3,2-2,0,2,2,2,0,0,0,1,-21,8,FALSE,FALSE,FALSE,TRUE,0,835,M. Coleman,,Guard,G,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864446,2016,2,2016-07-13
Jeanette Pohlen-Mavunga,Fever,7,0-0,0-0,0-0,0,1,1,2,0,0,0,0,+1,0,FALSE,FALSE,FALSE,TRUE,32,983,J. Pohlen-Mavunga,,Guard,G,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864446,2016,2,2016-07-13
Shenise Johnson,Fever,23,2-12,1-3,0-0,0,4,4,2,0,1,2,3,-8,5,FALSE,FALSE,FALSE,FALSE,42,1074,S. Johnson,,Guard,G,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864446,2016,2,2016-07-13
Tiffany Mitchell,Fever,18,1-8,0-2,0-0,1,2,3,2,0,0,2,1,-25,2,FALSE,FALSE,FALSE,TRUE,,2984741,T. Mitchell,https://a.espncdn.com/i/headshots/wnba/players/full/2984741.png,Guard,G,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864446,2016,2,2016-07-13
Sancho Lyttle,Dream,25,3-10,0-1,0-0,3,6,9,0,0,0,1,1,-13,6,TRUE,FALSE,FALSE,FALSE,31,609,S. Lyttle,,Forward,F,Dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,20,ATL,d02030,400864443,2016,2,2016-07-13
Angel McCoughtry,Dream,10,1-6,0-0,1-2,0,2,2,0,0,1,0,0,-14,3,TRUE,FALSE,FALSE,FALSE,35,872,A. McCoughtry,https://a.espncdn.com/i/headshots/wnba/players/full/872.png,Forward,F,Dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,20,ATL,d02030,400864443,2016,2,2016-07-13
Elizabeth Williams,Dream,29,2-7,0-0,3-4,4,2,6,2,2,3,1,2,-14,7,TRUE,FALSE,FALSE,FALSE,,2566081,E. Williams,https://a.espncdn.com/i/headshots/wnba/players/full/2566081.png,Center,C,Dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,20,ATL,d02030,400864443,2016,2,2016-07-13
Tiffany Hayes,Dream,28,4-9,2-5,2-3,1,3,4,1,4,0,2,1,-7,12,TRUE,FALSE,FALSE,FALSE,15,1054,T. Hayes,https://a.espncdn.com/i/headshots/wnba/players/full/1054.png,Guard,G,Dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,20,ATL,d02030,400864443,2016,2,2016-07-13
Layshia Clarendon,Dream,21,2-5,0-1,2-2,0,1,1,3,0,0,2,1,-12,6,TRUE,FALSE,FALSE,FALSE,,2490794,L. Clarendon,https://a.espncdn.com/i/headshots/wnba/players/full/2490794.png,Guard,G,Dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,20,ATL,d02030,400864443,2016,2,2016-07-13
Reshanda Gray,Dream,4,0-0,0-0,1-2,0,1,1,0,0,0,0,2,-1,1,FALSE,FALSE,FALSE,FALSE,1,2566211,R. Gray,https://a.espncdn.com/i/headshots/wnba/players/full/2566211.png,Forward,F,Dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,20,ATL,d02030,400864443,2016,2,2016-07-13
Markeisha Gatling,Dream,7,0-1,0-0,0-0,0,2,2,0,1,1,0,0,-6,0,FALSE,FALSE,FALSE,TRUE,34,2984366,M. Gatling,,Forward,F,Dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,20,ATL,d02030,400864443,2016,2,2016-07-13
Rachel Hollivay,Dream,15,0-0,0-0,1-2,0,2,2,0,0,1,1,3,-14,1,FALSE,FALSE,FALSE,TRUE,55,2998939,R. Hollivay,,Center,C,Dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,20,ATL,d02030,400864443,2016,2,2016-07-13
Matee Ajavon,Dream,8,1-4,0-0,2-2,1,0,1,2,0,0,1,2,-2,4,FALSE,FALSE,FALSE,FALSE,10,783,M. Ajavon,,Guard,G,Dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,20,ATL,d02030,400864443,2016,2,2016-07-13
Carla Cortijo,Dream,11,2-5,0-0,1-2,0,0,0,1,0,0,1,1,-10,5,FALSE,FALSE,FALSE,TRUE,8,2203512,C. Cortijo,,Guard,G,Dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,20,ATL,d02030,400864443,2016,2,2016-07-13
Meighan Simmons,Dream,13,2-11,2-7,0-0,0,0,0,1,0,1,1,2,-13,6,FALSE,FALSE,FALSE,TRUE,0,2530103,M. Simmons,,Guard,G,Dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,20,ATL,d02030,400864443,2016,2,2016-07-13
Bria Holmes,Dream,28,3-9,1-3,4-4,2,2,4,0,1,0,1,0,-14,11,FALSE,FALSE,FALSE,TRUE,32,2999140,B. Holmes,https://a.espncdn.com/i/headshots/wnba/players/full/2999140.png,Guard,G,Dream,https://a.espncdn.com/i/teamlogos/wnba/500/atl.png,20,ATL,d02030,400864443,2016,2,2016-07-13
Swin Cash,Liberty,15,0-3,0-0,0-2,1,3,4,2,1,0,0,1,+14,0,TRUE,FALSE,FALSE,FALSE,32,122,S. Cash,,Forward,F,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864443,2016,2,2016-07-13
Tina Charles,Liberty,25,8-16,0-0,2-2,3,6,9,2,0,0,2,0,+20,18,TRUE,FALSE,FALSE,FALSE,31,918,T. Charles,https://a.espncdn.com/i/headshots/wnba/players/full/918.png,Center,C,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864443,2016,2,2016-07-13
Carolyn Swords,Liberty,16,2-5,0-0,1-1,4,4,8,1,0,4,1,1,+18,5,TRUE,FALSE,FALSE,FALSE,4,982,C. Swords,,Center,C,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864443,2016,2,2016-07-13
Tanisha Wright,Liberty,22,1-4,0-0,1-2,1,2,3,3,0,0,1,1,+19,3,TRUE,FALSE,FALSE,FALSE,30,618,T. Wright,,Guard,G,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864443,2016,2,2016-07-13
Sugar Rodgers,Liberty,24,4-9,2-4,3-3,1,5,6,2,0,1,2,1,+20,13,TRUE,FALSE,FALSE,FALSE,14,2491197,S. Rodgers,,Guard,G,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864443,2016,2,2016-07-13
Kiah Stokes,Liberty,19,3-6,0-0,0-1,2,5,7,1,0,2,0,2,+2,6,FALSE,FALSE,FALSE,FALSE,41,2590093,K. Stokes,https://a.espncdn.com/i/headshots/wnba/players/full/2590093.png,Center,C,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864443,2016,2,2016-07-13
Amanda Zahui B.,Liberty,15,2-6,0-0,5-8,3,0,3,0,1,1,1,3,+2,9,FALSE,FALSE,FALSE,TRUE,,3007473,A. Zahui B.,https://a.espncdn.com/i/headshots/wnba/players/full/3007473.png,Center,C,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864443,2016,2,2016-07-13
Adut Bulgak,Liberty,5,2-3,0-0,2-2,2,1,3,0,0,0,0,0,+6,6,FALSE,FALSE,FALSE,TRUE,3,3142019,A. Bulgak,,Center,C,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864443,2016,2,2016-07-13
Shavonte Zellous,Liberty,20,5-9,1-1,0-0,1,1,2,3,0,0,2,2,+2,11,FALSE,FALSE,FALSE,FALSE,21,851,S. Zellous,https://a.espncdn.com/i/headshots/wnba/players/full/851.png,Guard,G,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864443,2016,2,2016-07-13
Shoni Schimmel,Liberty,5,0-0,0-0,0-1,0,1,1,1,1,0,0,0,+4,0,FALSE,FALSE,FALSE,TRUE,00,2529196,S. Schimmel,,Guard,G,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864443,2016,2,2016-07-13
Brittany Boyd-Jones,Liberty,17,2-4,0-1,0-0,2,1,3,2,3,0,2,3,+3,4,FALSE,FALSE,FALSE,TRUE,83,2566210,B. Boyd-Jones,,Guard,G,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864443,2016,2,2016-07-13
Rebecca Allen,Liberty,18,5-11,1-1,0-0,1,0,1,1,3,0,2,0,+10,11,FALSE,FALSE,FALSE,TRUE,,3102133,R. Allen,https://a.espncdn.com/i/headshots/wnba/players/full/3102133.png,Guard,G,Liberty,https://a.espncdn.com/i/teamlogos/wnba/500/ny.png,9,NY,0d79b9,400864443,2016,2,2016-07-13
Rebekkah Brunson,Lynx,20,5-8,0-0,0-0,3,4,7,1,1,0,0,2,+20,10,TRUE,FALSE,FALSE,FALSE,32,571,R. Brunson,,Forward,F,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864438,2016,2,2016-07-12
Maya Moore,Lynx,30,10-20,1-4,3-4,6,1,7,7,1,3,0,4,+35,24,TRUE,FALSE,FALSE,FALSE,23,956,M. Moore,,Forward,F,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864438,2016,2,2016-07-12
Sylvia Fowles,Lynx,27,3-6,0-0,0-0,3,5,8,1,1,1,1,5,+22,6,TRUE,FALSE,FALSE,FALSE,34,766,S. Fowles,https://a.espncdn.com/i/headshots/wnba/players/full/766.png,Center,C,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864438,2016,2,2016-07-12
Jia Perkins,Lynx,33,2-9,0-1,0-0,3,2,5,3,1,0,1,1,+18,4,TRUE,FALSE,FALSE,TRUE,7,537,J. Perkins,,Guard,G,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864438,2016,2,2016-07-12
Lindsay Whalen,Lynx,31,9-12,0-0,4-4,0,5,5,5,2,0,2,2,+32,22,TRUE,FALSE,FALSE,FALSE,13,545,L. Whalen,,Guard,G,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864438,2016,2,2016-07-12
Keisha Hampton,Lynx,11,0-6,0-2,2-2,0,0,0,0,1,0,0,2,-12,2,FALSE,FALSE,FALSE,TRUE,24,2325312,K. Hampton,,Forward,F,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864438,2016,2,2016-07-12
Natasha Howard,Lynx,17,1-3,0-0,4-6,0,4,4,1,0,0,0,3,+2,6,FALSE,FALSE,FALSE,TRUE,,2529130,N. Howard,https://a.espncdn.com/i/headshots/wnba/players/full/2529130.png,Forward,F,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864438,2016,2,2016-07-12
Bashaara Graves,Lynx,1,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,TRUE,12,2991969,B. Graves,,Forward,F,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864438,2016,2,2016-07-12
Janel McCarville,Lynx,16,2-4,0-0,1-2,3,4,7,0,0,0,1,1,+4,5,FALSE,FALSE,FALSE,FALSE,4,642,J. McCarville,,Center,C,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864438,2016,2,2016-07-12
Renee Montgomery,Lynx,16,1-6,0-2,0-0,0,0,0,1,0,0,2,0,-1,2,FALSE,FALSE,FALSE,TRUE,21,865,R. Montgomery,,Guard,G,Lynx,https://a.espncdn.com/i/teamlogos/wnba/500/min.png,8,MIN,005084,400864438,2016,2,2016-07-12
Monique Currie,Stars,18,5-10,0-2,0-2,2,0,2,1,0,0,2,1,-24,10,TRUE,FALSE,FALSE,FALSE,25,651,M. Currie,,Forward,F,Stars,,17,SA,000000,400864438,2016,2,2016-07-12
Alex Montgomery,Stars,23,3-5,1-2,1-1,0,0,0,1,0,0,2,2,-19,8,TRUE,FALSE,FALSE,FALSE,6,1006,A. Montgomery,,Forward,F,Stars,,17,SA,000000,400864438,2016,2,2016-07-12
Dearica Hamby,Stars,22,0-1,0-0,0-0,1,4,5,2,1,0,1,0,-12,0,TRUE,FALSE,FALSE,FALSE,5,2566106,D. Hamby,https://a.espncdn.com/i/headshots/wnba/players/full/2566106.png,Forward,F,Stars,,17,SA,000000,400864438,2016,2,2016-07-12
Jayne Appel-Marinelli,Stars,14,0-4,0-0,0-0,0,2,2,1,0,0,1,3,-20,0,TRUE,FALSE,FALSE,FALSE,32,954,J. Appel-Marinelli,,Center,C,Stars,,17,SA,000000,400864438,2016,2,2016-07-12
Moriah Jefferson,Stars,26,6-13,1-1,1-3,0,2,2,2,0,0,0,1,-18,14,TRUE,FALSE,FALSE,FALSE,,2998927,M. Jefferson,https://a.espncdn.com/i/headshots/wnba/players/full/2998927.png,Guard,G,Stars,,17,SA,000000,400864438,2016,2,2016-07-12
Haley McCloskey Peters,Stars,21,2-8,0-3,0-0,0,1,1,0,0,0,0,1,-14,4,FALSE,FALSE,FALSE,TRUE,17,2529125,H. Peters,,Forward,F,Stars,,17,SA,000000,400864438,2016,2,2016-07-12
Kayla Alexander,Stars,26,2-4,0-0,5-6,2,2,4,0,1,0,3,3,-4,9,FALSE,FALSE,FALSE,FALSE,40,2491232,K. Alexander,,Center,C,Stars,,17,SA,000000,400864438,2016,2,2016-07-12
Astou Ndour-Fall,Stars,7,0-2,0-1,0-0,0,2,2,0,0,0,0,1,+2,0,FALSE,FALSE,FALSE,TRUE,,3099025,A. Ndour-Fall,https://a.espncdn.com/i/headshots/wnba/players/full/3099025.png,Center,C,Stars,,17,SA,000000,400864438,2016,2,2016-07-12
Sydney Colson,Stars,18,2-5,0-1,4-4,1,1,2,1,3,0,5,2,-14,8,FALSE,FALSE,FALSE,TRUE,51,1004,S. Colson,https://a.espncdn.com/i/headshots/wnba/players/full/1004.png,Guard,G,Stars,,17,SA,000000,400864438,2016,2,2016-07-12
Jazmon Gwathmey,Stars,17,1-5,0-1,0-0,1,2,3,1,0,0,1,5,+6,2,FALSE,FALSE,FALSE,TRUE,1,2568417,J. Gwathmey,,Guard,G,Stars,,17,SA,000000,400864438,2016,2,2016-07-12
Blake Dietrick,Stars,8,1-2,0-1,0-0,0,3,3,0,0,0,0,0,-3,2,FALSE,FALSE,FALSE,TRUE,11,2569047,B. Dietrick,https://a.espncdn.com/i/headshots/wnba/players/full/2569047.png,Guard,G,Stars,,17,SA,000000,400864438,2016,2,2016-07-12
Emma Meesseman,Mystics,31,10-17,0-1,4-4,5,2,7,6,3,0,2,3,-12,24,TRUE,FALSE,FALSE,TRUE,33,3027368,E. Meesseman,https://a.espncdn.com/i/headshots/wnba/players/full/3027368.png,Forward,F,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864434,2016,2,2016-07-10
Kia Vaughn,Mystics,25,3-9,0-0,0-0,0,2,2,0,1,1,1,1,-7,6,TRUE,FALSE,FALSE,TRUE,7,838,K. Vaughn,https://a.espncdn.com/i/headshots/wnba/players/full/838.png,Center,C,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864434,2016,2,2016-07-10
Tierra Ruffin-Pratt,Mystics,18,0-2,0-0,0-0,1,5,6,1,1,1,1,0,-7,0,TRUE,FALSE,FALSE,FALSE,10,2490528,T. Ruffin-Pratt,,Guard,G,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864434,2016,2,2016-07-10
Tayler Hill,Mystics,30,2-13,1-6,4-4,2,1,3,4,3,0,4,1,-12,9,TRUE,FALSE,FALSE,FALSE,2,2490769,T. Hill,,Guard,G,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864434,2016,2,2016-07-10
Natasha Cloud,Mystics,25,2-3,2-3,0-0,0,4,4,3,1,0,2,3,-10,6,TRUE,FALSE,FALSE,TRUE,9,2529137,N. Cloud,https://a.espncdn.com/i/headshots/wnba/players/full/2529137.png,Guard,G,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864434,2016,2,2016-07-10
LaToya Sanders,Mystics,--,-----,-----,-----,--,--,--,--,--,--,--,--,--,--,FALSE,FALSE,FALSE,FALSE,,798,L. Sanders,,Forward,F,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864434,2016,2,2016-07-10
Tianna Hawkins,Mystics,7,1-1,1-1,0-0,0,0,0,1,0,0,0,3,+4,3,FALSE,FALSE,FALSE,FALSE,21,2490514,T. Hawkins,https://a.espncdn.com/i/headshots/wnba/players/full/2490514.png,Forward,F,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864434,2016,2,2016-07-10
Stefanie Dolson,Mystics,16,4-7,0-0,2-2,1,3,4,2,0,1,1,2,-7,10,FALSE,FALSE,FALSE,FALSE,31,2529183,S. Dolson,https://a.espncdn.com/i/headshots/wnba/players/full/2529183.png,Center,C,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864434,2016,2,2016-07-10
Ivory Latta,Mystics,22,3-7,2-5,1-2,0,1,1,0,0,0,1,1,-4,9,FALSE,FALSE,FALSE,TRUE,12,730,I. Latta,,Guard,G,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864434,2016,2,2016-07-10
Bria Hartley,Mystics,7,0-0,0-0,2-2,0,0,0,3,0,0,1,1,-3,2,FALSE,FALSE,FALSE,FALSE,14,2529185,B. Hartley,https://a.espncdn.com/i/headshots/wnba/players/full/2529185.png,Guard,G,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864434,2016,2,2016-07-10
Kahleah Copper,Mystics,19,5-6,1-1,2-2,0,2,2,1,1,0,0,0,+3,13,FALSE,FALSE,FALSE,TRUE,2,2998938,K. Copper,https://a.espncdn.com/i/headshots/wnba/players/full/2998938.png,Guard,G,Mystics,https://a.espncdn.com/i/teamlogos/wnba/500/wsh.png,16,WSH,e03a3e,400864434,2016,2,2016-07-10
Essence Carson,Sparks,31,2-6,1-2,2-2,0,5,5,1,2,0,1,2,+12,7,TRUE,FALSE,FALSE,TRUE,17,802,E. Carson,,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400864434,2016,2,2016-07-10
Candace Parker,Sparks,32,9-16,4-7,4-6,3,8,11,9,1,0,5,2,+15,26,TRUE,FALSE,FALSE,FALSE,3,812,C. Parker,https://a.espncdn.com/i/headshots/wnba/players/full/812.png,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400864434,2016,2,2016-07-10
Nneka Ogwumike,Sparks,30,10-14,0-0,2-4,1,6,7,2,0,1,3,2,+6,22,TRUE,FALSE,FALSE,TRUE,30,1068,N. Ogwumike,https://a.espncdn.com/i/headshots/wnba/players/full/1068.png,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400864434,2016,2,2016-07-10
Alana Beard,Sparks,30,2-4,0-1,3-4,0,0,0,2,3,0,1,3,+14,7,TRUE,FALSE,FALSE,TRUE,0,581,A. Beard,,Guard,G,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400864434,2016,2,2016-07-10
Kristi Toliver,Sparks,37,3-9,3-6,0-0,1,0,1,5,2,1,2,3,+22,9,TRUE,FALSE,FALSE,TRUE,20,856,K. Toliver,https://a.espncdn.com/i/headshots/wnba/players/full/856.png,Guard,G,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400864434,2016,2,2016-07-10
Jantel Lavender,Sparks,22,9-11,0-0,2-2,3,4,7,3,0,1,0,0,+1,20,FALSE,FALSE,FALSE,TRUE,14,1013,J. Lavender,https://a.espncdn.com/i/headshots/wnba/players/full/1013.png,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400864434,2016,2,2016-07-10
Evgeniia Belyakova,Sparks,6,0-1,0-1,0-0,0,0,0,0,0,0,0,1,-12,0,FALSE,FALSE,FALSE,FALSE,10,2969569,E. Belyakova,,Forward,F,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400864434,2016,2,2016-07-10
Chelsea Gray,Sparks,12,1-4,0-0,0-0,1,0,1,3,0,0,0,0,-3,2,FALSE,FALSE,FALSE,FALSE,12,2529122,C. Gray,https://a.espncdn.com/i/headshots/wnba/players/full/2529122.png,Guard,G,Sparks,https://a.espncdn.com/i/teamlogos/wnba/500/la.png,6,LA,532481,400864434,2016,2,2016-07-10
Tamika Catchings,Fever,24,5-10,3-4,2-2,1,2,3,1,4,1,0,2,+8,15,TRUE,FALSE,FALSE,FALSE,24,125,T. Catchings,,Forward,F,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864435,2016,2,2016-07-10
Erlana Larkins,Fever,33,4-5,0-0,3-4,2,5,7,3,0,0,2,4,+1,11,TRUE,FALSE,FALSE,TRUE,2,803,E. Larkins,,Forward,F,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864435,2016,2,2016-07-10
Lynetta Kizer,Fever,24,5-8,0-0,2-2,0,5,5,0,1,0,1,5,+17,12,TRUE,FALSE,FALSE,TRUE,12,1051,L. Kizer,,Forward,F,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864435,2016,2,2016-07-10
Briann January,Fever,28,2-5,1-2,0-0,2,3,5,7,1,0,2,4,-1,5,TRUE,FALSE,FALSE,TRUE,20,860,B. January,https://a.espncdn.com/i/headshots/wnba/players/full/860.png,Guard,G,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864435,2016,2,2016-07-10
Erica Wheeler,Fever,23,4-9,1-5,0-0,1,1,2,5,0,0,1,4,+23,9,TRUE,FALSE,FALSE,FALSE,17,2491214,E. Wheeler,https://a.espncdn.com/i/headshots/wnba/players/full/2491214.png,Guard,G,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864435,2016,2,2016-07-10
Devereaux Peters,Fever,20,6-7,0-0,0-0,0,5,5,1,0,0,1,3,-3,12,FALSE,FALSE,FALSE,FALSE,14,1101,D. Peters,,Forward,F,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864435,2016,2,2016-07-10
Shenise Johnson,Fever,27,6-10,5-8,1-1,1,3,4,4,1,0,2,1,+9,18,FALSE,FALSE,FALSE,TRUE,42,1074,S. Johnson,,Guard,G,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864435,2016,2,2016-07-10
Tiffany Mitchell,Fever,21,4-8,1-4,2-2,0,0,0,3,0,0,2,3,+1,11,FALSE,FALSE,FALSE,TRUE,,2984741,T. Mitchell,https://a.espncdn.com/i/headshots/wnba/players/full/2984741.png,Guard,G,Fever,https://a.espncdn.com/i/teamlogos/wnba/500/ind.png,5,IND,e2382f,400864435,2016,2,2016-07-10
Crystal Langhorne,Storm,30,1-2,0-0,4-5,2,3,5,2,0,0,2,3,-6,6,TRUE,FALSE,FALSE,TRUE,1,805,C. Langhorne,,Forward,F,Storm,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,14,SEA,05452a,400864435,2016,2,2016-07-10
Alysha Clark,Storm,28,4-10,3-6,0-0,1,0,1,2,0,0,1,3,-9,11,TRUE,FALSE,FALSE,TRUE,22,924,A. Clark,https://a.espncdn.com/i/headshots/wnba/players/full/924.png,Forward,F,Storm,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,14,SEA,05452a,400864435,2016,2,2016-07-10
Breanna Stewart,Storm,37,11-15,4-5,6-9,1,10,11,5,0,1,4,0,-4,32,TRUE,FALSE,FALSE,TRUE,30,2998928,B. Stewart,https://a.espncdn.com/i/headshots/wnba/players/full/2998928.png,Forward,F,Storm,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,14,SEA,05452a,400864435,2016,2,2016-07-10
Sue Bird,Storm,30,2-5,1-3,0-0,0,2,2,7,1,0,2,1,-4,5,TRUE,FALSE,FALSE,TRUE,10,91,S. Bird,https://a.espncdn.com/i/headshots/wnba/players/full/91.png,Guard,G,Storm,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,14,SEA,05452a,400864435,2016,2,2016-07-10
Jewell Loyd,Storm,27,4-12,0-3,2-2,2,1,3,1,1,0,1,3,-22,10,TRUE,FALSE,FALSE,TRUE,24,2987869,J. Loyd,https://a.espncdn.com/i/headshots/wnba/players/full/2987869.png,Guard,G,Storm,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,14,SEA,05452a,400864435,2016,2,2016-07-10
Ramu Tokashiki,Storm,12,3-6,0-0,4-5,0,1,1,0,0,0,1,3,-12,10,FALSE,FALSE,FALSE,FALSE,7,993,R. Tokashiki,,Forward,F,Storm,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,14,SEA,05452a,400864435,2016,2,2016-07-10
Kaleena Mosqueda-Lewis,Storm,20,3-8,1-4,1-1,0,0,0,1,0,0,1,2,-2,8,FALSE,FALSE,FALSE,FALSE,23,2590092,K. Mosqueda-Lewis,,Forward,F,Storm,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,14,SEA,05452a,400864435,2016,2,2016-07-10
Noelle Quinn,Storm,15,0-2,0-1,0-0,0,0,0,2,2,0,0,1,+4,0,FALSE,FALSE,FALSE,FALSE,45,737,N. Quinn,,Guard,G,Storm,https://a.espncdn.com/i/teamlogos/wnba/500/sea.png,14,SEA,05452a,400864435,2016,2,2016-07-10
Candice Dupree,Mercury,32,7-13,0-0,1-1,1,6,7,2,0,0,0,0,-2,15,TRUE,FALSE,FALSE,TRUE,24,689,C. Dupree,https://a.espncdn.com/i/headshots/wnba/players/full/689.png,Forward,F,Mercury,https://a.espncdn.com/i/teamlogos/wnba/500/phx.png,11,PHX,3a267d,400864431,2016,2,2016-07-10
